filename,width,height,class,xmin,ymin,xmax,ymax
No_Ball-35-_jpeg.rf.03b20ee2929d7e3b055132050734dc00.jpg,640,640,NoBall,75,12,542,640
Wide_Ball-1-_jpeg.rf.100b4b6cbbe1f3d1e1fef074fd48f4c3.jpg,640,640,WideBall,117,18,640,630
Wide_Ball-28-_jpeg.rf.0336f1ba1a827ea1bcf28d0aad757b12.jpg,640,640,WideBall,298,0,592,640
No_Ball-24-_jpeg.rf.105bd51a2a2f9e37c13776e6d4ae71b1.jpg,640,640,NoBall,283,6,603,640
Wide_Ball-2-_jpeg.rf.11f1e7e439ee1ed214b5aa5ac78e5e3d.jpg,640,640,WideBall,88,13,545,594
DRS-5-_jpeg.rf.048bf04f111fe8a9b9941f2e48b6c5b0.jpg,640,640,DRS,158,17,514,636
Wide_Ball-24-_jpeg.rf.0847e9c0e483dbb5ceaa1f142e81a5f4.jpg,640,640,WideBall,30,0,488,640
DRS-18-_jpeg.rf.0b2cd5bc74716528e4d6d10bde418260.jpg,640,640,DRS,132,0,492,640
Wide_Ball-43-_jpeg.rf.017f02ed0ce8ec94ffff3b1338a6291c.jpg,640,640,WideBall,93,21,560,625
No_Ball-12-_jpeg.rf.03b88a06fe37d706b2638de3f2ee586d.jpg,640,640,NoBall,50,14,558,640
No_Ball-3-_jpeg.rf.1fb06abefa19a71183a0d23cce3e147c.jpg,640,640,NoBall,69,0,542,640
DRS-16-_jpeg.rf.189b845f983c78d12cb145814151fed6.jpg,640,640,DRS,74,4,595,640
No_Ball-32-_jpeg.rf.12803d07127560d521678652caf410d8.jpg,640,640,NoBall,34,44,557,595
Leg_Bye-6-_jpeg.rf.1927a57ed53cc6541a5f2c8b3fb5e663.jpg,640,640,LegBye,164,0,477,418
No_Ball-23-_jpeg.rf.1fc23c23a1c2eeb24b9c268d8dd6b77b.jpg,640,640,NoBall,9,0,539,640
DRS-24-_jpeg.rf.20cac60bd344128ff71c1f9020be706f.jpg,640,640,DRS,141,19,330,640
DRS-4-_jpeg.rf.2301df9c04ef84c188c2e15f0b348eab.jpg,640,640,DRS,147,0,414,640
Wide_Ball-42-_jpeg.rf.2cf153ebea79b97b32d478c599ab8b0d.jpg,640,640,WideBall,55,4,582,640
No_Ball-30-_jpeg.rf.22c707853b35835ee23269495f568a6d.jpg,640,640,NoBall,118,26,465,640
Wide_Ball-46-_jpeg.rf.32b885baf4d3843d769efb11b8e36986.jpg,640,640,WideBall,356,0,640,611
No_Ball-49-_jpeg.rf.2a8baffca3e8d5b6f177a519d2d50ee3.jpg,640,640,NoBall,108,0,431,640
DRS-25-_jpeg.rf.2b3eab3853498bee175a1a39b9e2620e.jpg,640,640,DRS,102,0,510,640
No_Ball-22-_jpeg.rf.33c472901ac41c5d0fb0f8ca1ca2fb6d.jpg,640,640,NoBall,68,19,556,640
DRS-23-_jpeg.rf.2d9c9479d2bb36c8e46c16197d02f5e3.jpg,640,640,DRS,26,5,640,640
Wide_Ball-19-_jpeg.rf.3f7f00fd6454bcf5e739232f153dca26.jpg,640,640,WideBall,104,23,468,540
No_Ball-15-_jpeg.rf.3ed5138aa78abf4c38760723fd5cb557.jpg,640,640,NoBall,71,0,470,640
No_Ball-43-_jpeg.rf.2cbbb2dbf206d24eccf02359aaed5d51.jpg,640,640,NoBall,90,23,568,640
Wide_Ball-39-_jpeg.rf.361c08de18aed393798e0d9461cf6b2e.jpg,640,640,WideBall,331,153,576,564
Leg_Bye-8-_jpeg.rf.27e006649c1fcf6d4444dea309fdfb52.jpg,640,640,LegBye,111,62,564,613
DRS-20-_jpeg.rf.42880b31ddaede231252fa6a13dc14fa.jpg,640,640,DRS,212,7,426,640
No_Ball-21-_jpeg.rf.52f386e422b09fddea1efca650053cac.jpg,640,640,NoBall,284,42,472,631
Leg_Bye-5-_jpeg.rf.2e4ac299dd8f0a261d44a8b104f6253b.jpg,640,640,LegBye,95,0,515,640
No_Ball-46-_jpeg.rf.3962ad98d67866134913bd521a510a10.jpg,640,640,NoBall,62,0,365,640
Wide_Ball-10-_jpeg.rf.4d4fdae3c4caf9dfb07457e1d629212a.jpg,640,640,WideBall,14,0,624,640
No_Ball-39-_jpeg.rf.3e6370456ebfcfe59d7f3885bbf1abe8.jpg,640,640,NoBall,89,30,452,640
No_Ball-16-_jpeg.rf.510607ac33d629d23c69c1327c45ecfb.jpg,640,640,NoBall,6,0,494,640
DRS-8-_jpeg.rf.4feacf0f913d27f4a163469feccdfd17.jpg,640,640,DRS,30,79,306,640
DRS-3-_jpeg.rf.44d8bc2a3e6c07543404e46e858d4c2f.jpg,640,640,DRS,126,0,339,640
No_Ball-10-_jpeg.rf.536a322c7450089876839249b7e58f45.jpg,640,640,NoBall,32,0,522,640
Wide_Ball-17-_jpeg.rf.5817169fb1f2f41061c13979a1549f0d.jpg,640,640,WideBall,16,199,640,591
No_Ball-48-_jpeg.rf.4fff0da1a23fcb86255e927729cdbde9.jpg,640,640,NoBall,92,0,449,591
Leg_Bye-1-_jpeg.rf.5540c21784e157e63f799a41a29abebf.jpg,640,640,LegBye,122,32,548,626
No_Ball-34-_jpeg.rf.577496238f0c46ee9884a26ad6f1e048.jpg,640,640,NoBall,30,0,567,640
Wide_Ball-12-_jpeg.rf.5b5c0980a9af4d5174fa52905908703a.jpg,640,640,WideBall,103,0,526,640
No_Ball-40-_jpeg.rf.58d9ed8560af730eaef91a7b03d4ded0.jpg,640,640,NoBall,101,23,398,570
Wide_Ball-30-_jpeg.rf.5f6121faff656301c9f166afb4f15a51.jpg,640,640,WideBall,48,0,477,640
Wide_Ball-33-_jpeg.rf.5fa2b02a66988e74fec0661e43e43469.jpg,640,640,WideBall,66,16,571,640
Wide_Ball-21-_jpeg.rf.5fa76a6895be6c6eec94b59526bdcc86.jpg,640,640,WideBall,12,47,602,640
Wide_Ball-37-_jpeg.rf.6c42e8bb10c18a31fcb9452daffa3f38.jpg,640,640,WideBall,14,64,632,581
DRS-10-_jpeg.rf.6276bad9d65d41062652d6596086de79.jpg,640,640,DRS,259,80,458,640
No_Ball-8-_jpeg.rf.6f23a760aed4562812e2bbda3ff1b45b.jpg,640,640,NoBall,18,0,551,640
Wide_Ball-29-_jpeg.rf.711ce0d3e3efa27090de7df552ba57ab.jpg,640,640,WideBall,98,187,573,640
Leg_Bye-4-_jpeg.rf.6f0cb0d4d7acbbdc5158fb9b5054e729.jpg,640,640,LegBye,135,26,391,640
Wide_Ball-31-_jpeg.rf.6c91adf6bd595975c0f8fcee81cdf6f9.jpg,640,640,WideBall,44,0,434,588
No_Ball-42-_jpeg.rf.714abb4d4846b8cc61596dcc54925f49.jpg,640,640,NoBall,17,0,553,640
DRS-27-_jpeg.rf.75f8b4ce2f41a3812b2cc79f48b051a8.jpg,640,640,DRS,93,0,377,640
No_Ball-4-_jpeg.rf.6e9deb307cbbb84742292ee234f40d07.jpg,640,640,NoBall,155,82,415,577
Wide_Ball-26-_jpeg.rf.778b7750b77a65056ec6e30bca8d9542.jpg,640,640,WideBall,30,29,640,633
No_Ball-25-_jpeg.rf.7a4c568014882ffec23bfdc8cce5e036.jpg,640,640,NoBall,113,0,476,640
Leg_Bye-13-_jpeg.rf.7c2bbbb1c01623f71f18bde0175a1802.jpg,640,640,LegBye,298,21,484,470
Wide_Ball-3-_jpeg.rf.7abab9ba8aa9622fd0969dbeab905ea9.jpg,640,640,WideBall,9,0,601,640
Wide_Ball-52-_jpeg.rf.7245e93c31a988844af96e178ee76b34.jpg,640,640,WideBall,15,0,587,640
Wide_Ball-32-_jpeg.rf.77cd04da828455630ebdf2d7b49ed328.jpg,640,640,WideBall,26,0,620,640
No_Ball-36-_jpeg.rf.8b5ea83f8c8b0644254ca16cbcdfc949.jpg,640,640,NoBall,107,4,429,640
Wide_Ball-47-_jpeg.rf.7fd16a10cae27712663358824133e447.jpg,640,640,WideBall,5,19,640,614
Wide_Ball-36-_jpeg.rf.90d04e917f7ae60e4553783315567c82.jpg,640,640,WideBall,107,0,512,640
Wide_Ball-8-_jpeg.rf.874452f0d8e93cd3d637e014f5cbe243.jpg,640,640,WideBall,0,27,478,413
No_Ball-13-_jpeg.rf.73cc1737413032abdb7c2aab54bdab87.jpg,640,640,NoBall,78,4,502,640
No_Ball-19-_jpeg.rf.7fb06e5968fc02159757568a91a245a1.jpg,640,640,NoBall,24,0,554,640
Wide_Ball-38-_jpeg.rf.820943ffbebfc6f235f9742a9aa5013c.jpg,640,640,WideBall,210,67,553,555
Wide_Ball-45-_jpeg.rf.91e00988a213259baae20dfe1baef980.jpg,640,640,WideBall,21,31,640,629
DRS-9-_jpeg.rf.9671dd879aad6b4d64882b08a95b9f43.jpg,640,640,DRS,109,31,575,640
Wide_Ball-5-_jpeg.rf.88d417f6fba57c626627f78512017817.jpg,640,640,WideBall,170,11,510,640
Wide_Ball-49-_jpeg.rf.936cfba57ca89db3c69c471c0f1c2c85.jpg,640,640,WideBall,174,0,555,640
